timestamp,filename,caption,BLEU,ROUGE-L,METEOR
2025-05-24 18-40-31,img_4489.jpg,the man in a tuxedo is standing in front of a microphone with his hands in his pockets while a band plays on the other side of the stage behind him and another man with musical instruments in the microphones,10.99,38.6,60.1
2025-05-24 19-08-32,img_4489.jpg,"there is a man in a tuxedo standing in front of a microphone with a band on the other side of the microphone, and an orchestra in the back ground behind him is another man wearing a black suit and a red shirt and white shirt, holding a silver tie, with his hands in his right hand, while he is holding his left arm out to his other hand over his chest, looking away from him,",6.85,25.81,38.56
2025-05-24 19-17-23,img_4489.jpg,"##ng a man in a tuxedo sings into a microphone while an orchestra plays on the other side of the microphone, and a group of people in the background looks on stage behind him is a black backdrop",28.27,47.27,59.32
2025-05-24 19-19-03,img_4489.jpg,this is a man in a tuxedo standing in front of a microphone on a stage with other people in the background and one person holding a cell phone up to his ear,14.87,44.0,40.96
2025-05-24 19-30-12,img_4489.jpg,this is an image of a man in a tuxedo standing at a microphone with a band behind him and a woman on the side of the stage in the other side holding a cell phone,13.22,45.28,42.4
2025-05-24 19-50-17,1000036613.jpg,this is a close up of a person holding a bottle of wine on a wooden table with a bag in front of it and a woman ' s hand holding the bottle in her left hand near her right hand,0.0,21.05,18.92
2025-05-24 19-51-55,1000036157.jpg,birthday cake in a white box with blue flowers and a happy birthday written on the side of the cake that says it ' s not too late to be late for you to get out of time to eat,0.0,14.81,20.22
2025-05-27 17-27-05,img_4489.jpg,there is a man in a tuxedo speaking into a microphone with a band behind him on a stage with other people in the background,23.9,61.9,54.11
2025-05-27 17-30-01,img_4489.jpg,this is an image of a man in a tuxedo speaking into a microphone with other people in the background and on stage in front of him,19.23,50.0,39.04
2025-05-27 17-33-02,img_4489.jpg,this is an image of a man in a tuxedo standing at a microphone with a band behind him and a conductor in the background,21.19,57.14,41.8
2025-05-27 18-22-56,img_4489.jpg,there is a man in a tuxedo standing at a microphone with a band behind him and a conductor on the side of the stage in front of him,15.82,52.17,36.65
2025-05-27 18-46-32,img_4489.jpg,they are a man in a tuxedo standing in front of a microphone with a band playing on the stage behind him and an orchestra in the back ground behind them,21.18,54.17,69.33
2025-05-27 18-53-35,20e4659612f6aa8f4d2a5567baed5193.jpg,there is a man that is playing an electric guitar in the air with a lot of smoke coming out of his mouth as he stands in front of a large red and yellow and red flames behind him on a big screen,0.0,23.33,41.6
2025-06-01 13-33-50,img_4489.jpg,"smiling man in a tuxedo standing in front of a microphone with a band behind him and a conductor in the background, with an orchestra playing instruments on stage behind his side of the microphone and on the foreground to the back ground",12.82,36.67,43.29
2025-06-01 13-47-08,img_4489.jpg,this is a man in a tuxedo standing in front of a microphone with a band on the stage behind him and an orchestra in the background,20.88,54.55,67.16
2025-06-01 13-56-40,13_47juhY0.png,"there is a man that is standing in the middle of a stage with a violin and orchestra in front of him, with smoke coming out of the stage behind him",0.0,37.5,30.1
2025-06-01 19-03-48,img_4489.jpg,"boy in a tuxedo sings into a microphone while a band plays on the side of the stage behind him is an orchestra and a man in black suit with a white shirt and black bow tie, standing at the front of which he is holding his left hand is wearing a black jacket and looking away from the microphone to his right side",14.66,27.16,61.72
2025-06-01 19-06-39,img_4489.jpg,"there is a man in a tuxedo holding a microphone and standing next to a woman on a stage with a conductor behind him and a band of other people in the back ground and one man looking at the microphone, with musical instruments in front of them, while another man on the other side of the stage behind them",7.87,33.77,37.48
2025-06-01 20-00-55,img_4489.jpg,"this is an image of a man in a tuxedo speaking into a microphone on a stage with other people in the background and one person standing on the stage behind him wearing a black suit and holding a white shirt and a bow tie, while looking at the microphone, with his left hand out to his right side",12.61,34.21,37.65
2025-06-14 21-02-04,1000035971.jpg,"an illustration of a family sitting in front of their house with a small child on the floor and a man standing next to them, holding a bottle of water and two children looking at the house",0.0,19.23,26.35
